version,artifact_version,prompt_hash_12,tools_hash_12,created_at,note
v0,v0+baseline+init,none,none,2026-09-17T15:00:00+07:00,Baseline Checkpoint 3 (Pass 88.6%)
v1,v1+guardrails+tools,auto,auto,2026-09-17T21:00:00+07:00,Checkpoint 4 Spec Freeze & 4 Guardrails (Pass 100%)
